,overall,verified,reviewerID,reviewerName,reviewText,summary,preprocessed_text,ResultadoHF,Sentiment,Score
0,5.0,True,A2M1CU2IRZG0K9,Terri,"So sorry I didn't purchase this years ago when it first came out!!  This is very good and entertaining!  We absolutely loved it and anticipate seeing it repeatedly.  We actually wore out the cassette years back, so we also purchased this same product on cd.  Best purchase we made out of all!  Would purchase on dvd if we could find one.",Amazing!,sorry purchase years ago first came good entertaining absolutely loved anticipate seeing repeatedly actually wore cassette years back also purchased product cd best purchase made would purchase dvd could find one," POSITIVE,  0.9994398951530457", Positivo,  0.9994398951530457
1,5.0,True,AFTUJYISOFHY6,Melissa D. Abercrombie,Believe me when I tell you that you will receive a blessing watching this video of the Cathedral Quartet.  They bring back most of the singers that were ever in their group and it is a really great VHS.,Great Gospel VHS of the Cathedrals!,believe tell receive blessing watching video cathedral quartet bring back singers ever group really great vhs," POSITIVE,  0.9997850060462952", Positivo,  0.9997850060462952
2,5.0,True,A3JVF9Y53BEOGC,Anthony Thompson,"I have seen X live many times, both in the early days and their more recent reunion shows. Trust me when I say this: they never disappoint as a live band! This DVD document of a show on their home turf of LA is a dream come true. Can't wait.",A great document of a great band,seen x live many times early days recent reunion shows trust say never disappoint live band dvd document show home turf la dream come true ca wait," POSITIVE,  0.9997633099555969", Positivo,  0.9997633099555969
7,5.0,True,A2CFV9UPFTTM10,SuzieQ,The little ones love this,Love it,little ones love," POSITIVE,  0.9998749494552612", Positivo,  0.9998749494552612
8,3.0,True,A3139J3877Y61F,SingingButterfly,Good songs. The DVD is a little boring.,Three Stars,good songs dvd little boring," NEGATIVE,  0.9978692531585693", Negative,  0.9978692531585693
9,5.0,True,A2PANT8U0OJNT4,Cutegirlmomma,The DVD came in great condition and provided lots of entertaining minutes of reliving the past.  Definitely worth the money.,Blast from the past,dvd came great condition provided lots entertaining minutes reliving past definitely worth money," POSITIVE,  0.9997672438621521", Positivo,  0.9997672438621521
10,5.0,True,A3TS9EQCNLU0SM,Amazon Customer,Watch this and learn how we ended up in the state we are in as a dying country.,Excellent Viewing,watch learn ended state dying country," POSITIVE,  0.9953060746192932", Positivo,  0.9953060746192932
11,4.0,True,A2QWTVQ90KYZZP,FASTEDDY,REALLY ENJOYED,Four Stars,really enjoyed," POSITIVE,  0.9998846054077148", Positivo,  0.9998846054077148
12,5.0,True,AK1BZVQ7X9EJR,GCK,excellent as usual,Five Stars,excellent usual," POSITIVE,  0.9998527765274048", Positivo,  0.9998527765274048
13,5.0,True,ADUN41PCA098H,Dagny Dibona,"A great read.  So much historical info.

Thank you,",A great read. So much historical info,great read much historical info thank," POSITIVE,  0.9998689889907837", Positivo,  0.9998689889907837
14,5.0,True,A1R6FXSZVCIJKK,Kindle Customer,Should be a must read,Five Stars,must read," POSITIVE,  0.9989797472953796", Positivo,  0.9989797472953796
15,5.0,True,A3JUFDBFDX0A0J,Stan Laurel,Well done video with important information that Americans should know.,Americans should see this.,well done video important information americans know," POSITIVE,  0.9993001222610474", Positivo,  0.9993001222610474
16,2.0,True,A38KRRY00H5TEY,Trish,"While there was a lot of information in this piece (some of it coming at your faster than a freight train, another down side of the video), there is no doubt that it was produced as right-wing propaganda, which means I'm not able to use it as I hoped (for my children's home schooling). One large section of the video is a series of quotes from historical U. S. leaders, mentioning God and/or the Bible -- the quotes are simply inserted without any background or even a common-ground to relate each of them.",Lots of Info. But Mostly a Right-Wing Agenda Pusher,lot information piece coming faster freight train another side video doubt produced propaganda means able use hoped children home schooling one large section video series quotes historical leaders mentioning god bible quotes simply inserted without background even relate," NEGATIVE,  0.9994933605194092", Negative,  0.9994933605194092
18,4.0,True,A22E627EBTSX4T,Jennifer McCoy,"Haters will say this is biased, that the founding fathers were not christians, or that they were deists...and maybe that's true for some of the ff. But this documentary is very informative. Our nation started as something it is most certainly not anymore. And we are falling. This movie gives insight as to why.",Haters gonna hate,haters say biased founding fathers christians deists maybe true ff documentary informative nation started something certainly anymore falling movie gives insight," POSITIVE,  0.9975842237472534", Positivo,  0.9975842237472534
19,5.0,True,A1SJ5KDJF2BQAT,L. Bridges,What a great video that gives the early history of our great country!  I'd highly recommend this to everyone - especially for school children that are not learning the history of our country.,Interesting and educational video about our great country!,great video gives early history great country highly recommend everyone especially school children learning history country," POSITIVE,  0.9997274279594421", Positivo,  0.9997274279594421
